# FROM CRISPRCASDB
# COLLECTED BY @purpurax

"gene","count"
Cas10_0_III_1,140
Cas10_0_III_10,3
Cas10_0_III_11,2
Cas10_0_III_13,1
Cas10_0_III_18,1
Cas10_0_III_2,30
Cas10_0_III_3,30
Cas10_0_III_4,57
Cas10_0_III_5,40
Cas10_0_III_6,23
Cas10_0_III_7,21
Cas10_0_III_8,21
Cas10_0_III_9,12
Cas10_0_III-A_1,106
Cas10_0_III-A_10,2
Cas10_0_III-A_11,1
Cas10_0_III-A_2,58
Cas10_0_III-A_3,167
Cas10_0_III-A_4,70
Cas10_0_III-A_5,72
Cas10_0_III-A_6,61
Cas10_0_III-A_7,47
Cas10_0_III-A_8,451
Cas10_0_III-A_9,16
Cas10_0_III-B_1,36
Cas10_0_III-B_11,1
Cas10_0_III-B_12,1
Cas10_0_III-B_2,88
Cas10_0_III-B_3,24
Cas10_0_III-B_4,22
Cas10_0_III-B_5,101
Cas10_0_III-B_6,34
Cas10_0_III-B_7,14
Cas10_0_III-B_8,10
Cas10_0_III-B_9,5
Cas10_0_III-C_11,1
Cas10_0_III-C_12,1
Cas10_0_III-C_2,5
Cas10_0_III-C_3,16
Cas10_0_III-C_4,29
Cas10_0_III-C_5,2
Cas10_0_III-C_6,5
Cas10_0_III-C_7,2
Cas10_1_III-B_1,72
Cas10_1_III-B_2,41
Cas10_1_III-B_3,22
Cas10_1_III-B_4,26
Cas10_1_III-B_5,56
Cas10_1_III-B_6,12
Cas10_1_III-B_7,10
Cas10_1_III-B_8,5
Cas10_1_III-B_9,2
Cas10d_0_I-D_1,12
Cas10d_0_I-D_2,57
Cas10d_0_I-D_3,24
Cas10d_0_I-D_4,4
Cas10d_0_I-D_5,1
Cas10d_0_I-D_7,15
Cas1_0_I-A_1,22
Cas1_0_I-A_2,38
Cas1_0_I-A_4,1
Cas1_0_I-A_5,10
Cas1_0_I-A_6,20
Cas1_0_I-A_7,28
Cas1_0_I-A_8,2
Cas1_0_I-C_1,38
Cas1_0_I-C_11,1
Cas1_0_I-C_2,806
Cas1_0_I-C_3,26
Cas1_0_I-C_4,14
Cas1_0_I-C_5,96
Cas1_0_I-C_6,593
Cas1_0_I-C_7,44
Cas1_0_I-C_8,2
Cas1_0_I-C_9,1
Cas1_0_I-E_1,122
Cas1_0_I-E_13,1
Cas1_0_I-E_2,2333
Cas1_0_I-E_3,36
Cas1_0_I-E_4,17
Cas1_0_I-E_5,77
Cas1_0_I-E_6,178
Cas1_0_I-E_7,2911
Cas1_0_I-E_8,57
Cas1_0_I-F_1,553
Cas1_0_I-F_2,83
Cas1_0_I-F_3,21
Cas1_0_I-F_4,7
Cas1_0_I-F_5,111
Cas1_0_I-F_6,555
Cas1_0_I-F_7,7
Cas1_0_II_1,98
Cas1_0_II_2,1914
Cas1_0_II_3,678
Cas1_0_II_7,5
Cas1_0_II_8,2
Cas1_0_II_9,10
Cas1_0_I-II-III_1,137
Cas1_0_I-II-III_10,9
Cas1_0_I-II-III_11,5
Cas1_0_I-II-III_12,15
Cas1_0_I-II-III_2,1023
Cas1_0_I-II-III_3,121
Cas1_0_I-II-III_4,47
Cas1_0_I-II-III_5,101
Cas1_0_I-II-III_6,199
Cas1_0_I-II-III_7,245
Cas1_0_I-II-III_8,88
Cas1_0_I-II-III_9,46
Cas1_0_I-II-III-V_1,78
Cas1_0_I-II-III-V_10,3
Cas1_0_I-II-III-V_15,1
Cas1_0_I-II-III-V_16,1
Cas1_0_I-II-III-V_2,246
Cas1_0_I-II-III-V_3,57
Cas1_0_I-II-III-V_4,70
Cas1_0_I-II-III-V_5,52
Cas1_0_I-II-III-V_6,53
Cas1_0_I-II-III-V_7,64
Cas1_0_I-II-III-V_8,10
Cas1_0_I-II-III-V_9,6
Cas1_0_V_2,19
Cas1_0_V_3,19
Cas12a_0_V-A_1,27
Cas12a_0_V-A_3,1
Cas12a_0_V-A_4,18
Cas12b_0_V-B_1,4
Cas12b_0_V-B_3,5
Cas12b1_0_CAS-V-B_1,4
Cas12f4_0_CAS-V-F_1,13
Cas12f7_0_CAS-V-F_1,3
Cas12g_0_CAS-V-G_1,1
Cas12k_0_V-K_1,99
Cas12k_0_V-K_2,1
Cas13a_0_CAS-VI-A_1,19
Cas13a_0_VI-A_1,22
Cas13b_0_CAS-VI-B_1,1
Cas13b_0_VI-B1_1,63
Cas13b_1_CAS-VI-B_1,65
Cas13b_1_VI-B2_1,1
Cas13c_0_CAS-VI-C_1,4
Cas13c_0_VI-C_1,2
Cas13d_0_CAS-VI-D_1,1
Cas2_0_I-E_1,2345
Cas2_0_I-E_14,1
Cas2_0_I-E_2,28
Cas2_0_I-E_3,12
Cas2_0_I-E_4,23
Cas2_0_I-E_5,17
Cas2_0_I-E_6,83
Cas2_0_I-E_7,180
Cas2_0_I-E_8,2804
Cas2_0_I-E_9,51
Cas2_0_I-II-III_1,1351
Cas2_0_I-II-III_10,6
Cas2_0_I-II-III_12,1
Cas2_0_I-II-III_13,2
Cas2_0_I-II-III_2,897
Cas2_0_I-II-III_3,1224
Cas2_0_I-II-III_4,34
Cas2_0_I-II-III_5,16
Cas2_0_I-II-III_6,79
Cas2_0_I-II-III_7,45
Cas2_0_I-II-III_8,38
Cas2_0_I-II-III_9,22
Cas2_0_I-II-III-V_1,1535
Cas2_0_I-II-III-V_10,16
Cas2_0_I-II-III-V_11,13
Cas2_0_I-II-III-V_12,3
Cas2_0_I-II-III-V_15,1
Cas2_0_I-II-III-V_16,1
Cas2_0_I-II-III-V_2,230
Cas2_0_I-II-III-V_3,111
Cas2_0_I-II-III-V_4,86
Cas2_0_I-II-III-V_5,135
Cas2_0_I-II-III-V_6,272
Cas2_0_I-II-III-V_7,832
Cas2_0_I-II-III-V_8,315
Cas2_0_I-II-III-V_9,43
Cas3_0_I_1,4090
Cas3_0_I_10,12
Cas3_0_I_11,3
Cas3_0_I_12,6
Cas3_0_I_14,1
Cas3_0_I_2,272
Cas3_0_I_3,150
Cas3_0_I_4,891
Cas3_0_I_5,342
Cas3_0_I_6,189
Cas3_0_I_7,808
Cas3_0_I_8,2120
Cas3_0_I_9,28
Cas3_0_I-D_1,77
Cas3_0_I-D_10,1
Cas3_0_I-D_2,3
Cas3_0_I-D_3,28
Cas3_0_I-D_4,44
Cas3_0_I-D_5,13
Cas3_0_I-D_6,1
Cas3_0_I-D_8,14
Cas3_0_I-U_1,58
Cas3_0_I-U_2,9
Cas3_0_I-U_3,125
Cas3_0_I-U_4,12
Cas3_0_I-U_6,19
