# FROM CRISPRCASDB
# COLLECTED BY @purpurax

"class","count"
CAS-TypeII-C,1756
CAS-TypeV-B1,4
CAS-TypeVI-B1,129
CAS-TypeIII-D,375
CAS-TypeIII-C,84
CAS-TypeV-F4,13
CAS-TypeIV,88
CAS-TypeV-B,9
CAS-TypeI-E,5977
CAS-TypeI-C,1712
CAS-TypeII-B,80
CAS-TypeII-A,1231
CAS-TypeV-F7,3
CAS-TypeI-G,321
CAS,415
CAS-TypeI-A,298
CAS-TypeV-K,99
CAS-TypeI-F,1452
CAS-TypeVI-C,6
CAS-TypeV-A,46
CAS-TypeIII-B,635
CAS-TypeV-G,1
CAS-TypeI-B,1261
CAS-TypeVI-B2,1
CAS-TypeVI-A,41
CAS-TypeIII-A,1123
CAS-TypeI-D,197
CAS-TypeVI-D,1
