# from crisprcasdb
# collected by purpurax

"name","crispr count","cas_region count"
CP022521.1,28,8
AP024597.1,9,7
CP040094.1,9,7
CP059066.1,4,7
AP025018.1,22,7
LT906662.1,5,7
CP091244.1,10,7
CP000686.1,7,7
AP018184.1,10,6
CP040272.1,12,6
CP024955.1,12,6
AE006641.1,7,6
AP018314.1,9,6
CP002017.1,4,6
CP002326.1,12,6
CP077713.1,4,6
CP061800.1,15,6
AP018288.1,16,6
CP062698.1,5,6
AP018178.1,10,5
CP016076.1,18,5
CP026681.1,14,5
CP063311.1,9,5
CM001776.1,7,5
CP000679.1,11,5
CP035730.1,7,5
CP040297.1,12,5
AP018929.1,10,5
CP088016.1,7,5
CP051167.1,11,5
CP002049.1,8,5
CP001720.1,10,5
CP003548.1,16,5
CM001475.1,7,5
AP018233.1,14,5
CP031032.1,1,5
CP034058.1,8,5
AP018712.1,10,5
AP018316.1,8,5
JAGTJT010000001.1,5,5
CP091278.1,3,5
CP077803.1,12,5
CP047242.1,7,5
CP000804.1,6,5
AP019796.1,9,5
AP018307.1,18,5
CP029289.2,9,5
CP036259.1,8,5
CP003046.1,12,5
LT549890.1,8,5
CP060096.1,5,5
CP000230.1,12,5
CP002630.1,4,5
AP019797.1,10,5
CP060822.1,9,5
AP018180.1,7,5
CP001337.1,3,5
CP003630.1,4,5
CP003945.1,4,5
CP000875.1,6,5
CP018058.1,12,5
CP051528.1,5,5
CP000117.1,7,5
CP003001.1,12,5
OV696605.1,7,5
CP077715.1,4,5
CP007029.1,8,5
LN999010.1,8,5
CP011456.1,6,5
AP025245.1,8,5
CP050869.1,8,5
CP018477.1,6,5
CP003659.1,8,5
CP009170.1,3,5
CP015193.1,8,5
AP018254.1,14,5
CP001147.1,5,5
CP079095.1,6,5
CP050440.1,7,5
CP045687.1,10,5
CP000969.1,8,4
AP018449.1,9,4
CP003607.1,9,4
CP023278.1,12,4
CP001287.1,5,4
CP002780.1,10,4
CP019636.1,5,4
BA000001.2,6,4
AP008227.1,9,4
CP071065.1,11,4
LN885086.1,3,4
CP002444.1,7,4
CP066886.1,6,4
CP025943.1,12,4
AP009389.1,5,4
CP047971.1,3,4
CP007141.1,4,4
CP000505.1,10,4
CP065957.1,3,4
CP002779.1,7,4
CP060140.1,5,4
BA000019.2,12,4
CP045226.1,3,4
CP011995.1,5,4
CP025216.1,4,4
AP024985.1,9,4
CP000860.1,4,4
JABWAF010000001.1,3,4
CP025930.1,4,4
CP003620.1,6,4
AP018166.1,8,4
CP008746.1,4,4
AP025158.1,8,4
CP001185.1,12,4
CP001683.1,10,4
AE017222.1,8,4
CP050890.1,11,4
CP068564.1,4,4
CP021121.1,10,4
JABWAH010000001.1,3,4
JABWAG010000001.1,3,4
CP080598.1,6,4
CP001229.1,13,4
CP000448.1,5,4
CP001400.1,3,4
CP024599.1,4,4
CP034842.1,7,4
CP033837.1,7,4
LR026961.1,1,4
CP007223.1,4,4
CP013008.1,6,4
CP032507.1,5,4
AP009380.1,4,4
BA000023.2,6,4
AP022557.1,5,4
LR797830.1,3,4
AP018930.1,10,4
CP003943.1,10,4
CP070233.1,3,4
CP011380.2,5,4
CP072801.1,6,4
CP080953.1,6,4
CM001633.1,6,4
AP011615.1,8,4
CP039381.1,6,4
CP021983.2,9,4
AHJO01000001.1,3,4
CP029288.2,10,4
CP016026.1,4,4
CP022121.1,5,4
CP024202.1,4,4
CP002351.1,6,4
CP082362.1,8,4
CP034260.2,4,4
CP010835.1,7,4
CP030250.1,4,4
CP025932.1,4,4
CP002164.1,9,4
CP059564.1,5,4
CP072386.1,3,4
CP082324.1,9,4
CP001685.1,4,4
AP018553.1,3,4
CP035467.1,5,4
CP006819.1,4,4
CP007121.1,4,4
AP017928.1,7,4
CP001743.1,5,4
CP072637.1,2,4
CP001401.1,3,4
